PUMFID,AGEGROUP,AGEGR_10,"When practicing recommended public health measures, which
source of information do you find the most helpful?","Which social media application do you use most often to discuss
topics about COVID-FacebookSina Weibo?
",BH_Filled prescriptions0A,BH_20B,BH_20C,BH_20D,BH_20E,BH_20F,BH_20G,BH_20H,BH_20I,BH_20J,BH_20K,BH_20L,BH_20M,"How concerned are you about each of the following impacts of
COVID-Not at all9?
My own health
","How concerned are you about each of the following impacts of
COVID-Not at all9?
Member of the household’s health","How concerned are you about each of the following impacts of
COVID-Not at all9?
Vulnerable people’s health","How concerned are you about each of the following impacts of
COVID-Not at all9?
Canadian population’s health","How concerned are you about each of the following impacts of
COVID-Not at all9?
World population’s health
","How concerned are you about each of the following impacts of
COVID-Not at all9?
Overloading the health system","How concerned are you about each of the following impacts of
COVID-Not at all9?
Civil disorder","How concerned are you about each of the following impacts of
COVID-Not at all9?
Maintaining social ties","How concerned are you about each of the following impacts of
COVID-Not at all9?
Ability to cooperate and support one another during the crisis","How concerned are you about each of the following impacts of
COVID-Not at all9?
Ability to cooperate and support one another after the crisis
","How concerned are you about each of the following impacts of
COVID-Not at all9?
Family stress from confinement","How concerned are you about each of the following impacts of
COVID-Not at all9?
Violence in the home","In the last week, how often did you do each of the following activities","In the last week, how often did you do each of the following activities?
Used a delivery service for groceries or for a drugstore
","In the last week, how often did you do each of the following activities?
Used a food delivery service for prepared food
","In the last week, how often did you do each of the following activities?
Ate at a restaurant","In the last week, how often did you do each of the following activities?
Attended a public event","In the last week, how often did you do each of the following activities?
Travelled for work",What is your gender?,"To what extent do you agree or disagree with the following
statement?
I might lose my main job or main self-employment income source in
the next four weeks.","Which of the following best describes the impact of COVID-Major impact9 on your
ability to meet financial obligations or essential needs, such as rent or
mortgage payments, utilities and groceries?
",PRURURB,PPROV,VERDATE
1536,4,3,Provincial daily announcements by public health and political leaders,Facebook,Filled prescriptions,2,2,2,2,1,1,1,1,1,1,1,2,Not at all,Somewhat,Very,Very,Extremely,Very,Somewhat,Not at all,Somewhat,Somewhat,Extremely,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Male,Strongly agree,Too soon to tell,2,AB,MAR
1537,8,5,"Provincial health agency Help text: e.g., website, public service announcements",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,2,1,2,1,1,1,1,1,1,1,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Extremely,Not at all,Never,1 to 3 times,Never,Never,Never,Never,Female,Strongly agree,Major impact,2,QC,MAR
1538,7,4,"Municipal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,1,1,1,1,1,1,1,1,1,2,Very,Extremely,Extremely,Very,Very,Extremely,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Strongly disagree,Too soon to tell,2,ON,MAR
1539,3,2,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,1,1,1,1,1,1,1,2,1,2,Extremely,Very,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Very,Very,Never,Never,1 to 3 times,Never,Never,Never,Male,Strongly agree,Major impact,2,NL,MAR
1540,5,3,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,1,2,1,2,Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Extremely,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,No impact,2,NS,MAR
1541,1,1,Health professionals,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,2,1,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Extremely,Extremely,1 to 3 times,Never,Never,Never,Never,Never,Male,Agree,Minor impact,2,ON,MAR
1542,4,3,Health professionals,Snapchat,Stocked up on essentials at a grocery store or pharmacy,1,1,1,1,1,1,1,1,1,2,2,2,Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Very,Extremely,Not at all,Never,Never,Never,Never,Never,Never,Female,Strongly agree,Major impact,2,ON,MAR
1543,3,2,Federal daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,1,2,1,2,Very,Very,Extremely,Extremely,Very,Extremely,Not at all,Not at all,Not at all,Not at all,Very,Not at all,1 to 3 times,Never,Never,Never,Never,1 to 3 times,Male,Disagree,Too soon to tell,2,ON,MAR
1544,4,3,Federal daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,1,2,2,Somewhat,Extremely,Very,Very,Very,Extremely,Very,Not at all,Very,Somewhat,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Not working at a job or business,Major impact,2,BC,MAR
1545,8,5,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,1,1,1,1,1,1,1,1,1,2,Somewhat,Very,Very,Extremely,Extremely,Extremely,Very,Somewhat,Extremely,Extremely,Somewhat,Not at all,Never,Never,1 to 3 times,Never,Never,Never,Female,Strongly agree,Major impact,2,ON,MAR
1546,2,2,Provincial daily announcements by public health and political leaders,Facebook,Filled prescriptions,1,2,2,2,1,2,1,1,1,2,1,1,Extremely,Very,Extremely,Very,Somewhat,Very,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Never,1 to 3 times,1 to 3 times,Never,Never,Never,Female,Strongly agree,Major impact,2,BC,MAR
1547,3,2,"News outlets including local, national and international sources",Twitter,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Agree,Moderate impact,2,ON,MAR
1548,4,3,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,1,1,1,1,1,1,1,2,1,2,Very,Very,Extremely,Somewhat,Somewhat,Extremely,Not at all,Not at all,Not at all,Not at all,Very,Somewhat,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,Minor impact,2,MB,MAR
1549,6,4,"News outlets including local, national and international sources",Snapchat,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,2,1,1,1,2,1,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,9,Never or 5 times,Never,Never,Never,1 to 3 times,Female,Agree,Minor impact,1,NB,MAR
1550,2,2,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Filled prescriptions,2,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,1 to 3 times,Never,Never,Never,Never,Never,Male,Disagree,Minor impact,2,QC,MAR
1551,3,2,Federal daily announcements by public health and political leaders,Twitter,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,1,2,2,Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Very,Very,Not at all,Never,Never,Never,Never,Never,Never or 5 times,Female,Agree,Moderate impact,2,ON,MAR
1552,8,5,"News outlets including local, national and international sources0",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,2,1,1,1,1,1,1,1,2,1,2,Very,Very,Very,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Male,Neither agree nor disagree,No impact,2,ON,MAR
1553,4,3,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,2,2,2,Not at all,Very,Very,Very,Very,Extremely,Somewhat,Very,Very,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Male,Disagree,Minor impact,2,ON,MAR
1554,5,3,Federal daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,1,1,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Very,Extremely,Extremely,Very,Extremely,1 to 3 times,Never,Never,Never,Never,1 to 3 times,Female,Neither agree nor disagree,Major impact,2,QC,MAR
1555,7,4,Health professionals,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,1,2,1,1,1,1,1,1,2,2,2,Not at all,Not at all,Extremely,Somewhat,Very,Extremely,Somewhat,Not at all,Very,Very,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never or 5 times,Female,Strongly disagree,Minor impact,1,AB,MAR
1556,2,2,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,1,1,1,1,1,1,1,1,1,1,2,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Not at all,Not at all,Not at all,Not at all,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Male,Disagree,No impact,2,ON,MAR
1557,4,3,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,2,2,2,Somewhat,Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly agree,Minor impact,2,AB,MAR
1558,9,5,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Filled prescriptions,1,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Somewhat,Very,Very,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,1 to 3 times,Female,Strongly agree,Minor impact,2,ON,MAR
1559,3,2,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,1,1,1,2,Not at all,Extremely,Very,Very,Very,Very,Very,Very,Extremely,Extremely,Not at all,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,Minor impact,1,QC,MAR
1560,2,2,"Social media Help text: e.g., Facebook, Instagram, SnapChat, TikTok, Twitter, YouTube",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,1,2,1,1,1,1,1,1,2,1,2,Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Very,Very,Not at all,Never,Never,1 to 3 times,Never,Never,Never,Female,Strongly agree,Moderate impact,2,AB,MAR
1561,8,5,Health professionals,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,2,1,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,1 to 3 times,9,1 to 3 times,9,9,9,Female,Neither agree nor disagree,Moderate impact,2,ON,MAR
1562,9,5,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,2,1,1,2,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Male,Strongly agree,Major impact,2,BC,MAR
1563,7,4,Provincial daily announcements by public health and political leaders,Instagram,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,1,2,1,2,Very,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Not at all,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Female,Not working at a job or business,Too soon to tell,2,QC,MAR
1564,4,3,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,2,1,2,2,Somewhat,Somewhat,Very,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Disagree,No impact,2,NB,MAR
1565,10,6,"News outlets including local, national and international sources",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,2,1,1,1,1,1,1,1,1,2,2,Somewhat,Somewhat,Somewhat,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Female,Not working at a job or business,Minor impact,2,AB,MAR
1566,2,2,"News outlets including local, national and international sources",TikTok,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,2,1,2,Very,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Male,Strongly disagree,Too soon to tell,2,AB,MAR
1567,3,2,"Provincial health agency Help text: e.g., website, public service announcements",Twitter,Stocked up on essentials at a grocery store or pharmacy,2,1,1,1,1,1,1,1,2,1,1,2,Not at all,Somewhat,Extremely,Extremely,Extremely,Very,Not at all,Very,Very,Very,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Disagree,Minor impact,2,BC,MAR
1568,3,2,"Social media Help text: e.g., Facebook, Instagram, SnapChat, TikTok, Twitter, YouTube",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Very,Extremely,Very,Very,Very,Very,Not at all,Somewhat,Somewhat,Not at all,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,No impact,2,QC,MAR
1569,2,2,"News outlets including local, national and international sources",Twitter,Filled prescriptions,1,2,2,2,1,1,1,1,1,1,1,2,Somewhat,Extremely,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Female,Agree,Minor impact,2,BC,MAR
1570,10,6,Federal daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,2,1,1,1,2,1,2,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Extremely,Not at all,Never,Never,1 to 3 times,Never,Never,Never,Female,Not working at a job or business,Too soon to tell,2,BC,MAR
1571,5,3,"News outlets including local, national and international sources",Facebook,Filled prescriptions,1,2,2,2,1,1,1,1,2,2,1,2,Somewhat,Extremely,Extremely,Very,Very,Very,Somewhat,Not at all,Somewhat,Not at all,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Strongly disagree,No impact,1,ON,MAR
1572,7,4,Federal daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,1,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Very,Very,Very,Not at all,Somewhat,Somewhat,Very,Somewhat,Not at all,Never,Never,1 to 3 times,9,Never,Never,Female,Neither agree nor disagree,Moderate impact,1,ON,MAR
1573,9,5,"News outlets including local, national and international sourcesNews outlets including local, national and international sources",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,1,1,1,2,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,No impact,2,ON,MAR
1574,4,3,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,2,2,1,2,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Very,Extremely,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Male,Strongly disagree,Minor impact,2,QC,MAR
1575,7,4,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,1,1,2,2,Somewhat,Very,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Very,Not at all,1 to 3 times,Never,Never,Never,Never,1 to 3 times,Female,Disagree,Minor impact,1,NS,MAR
1576,3,2,"News outlets including local, national and international sources",Instagram,Stocked up on essentials at a grocery store or pharmacy,2,2,1,2,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Very,Very,Very,Very,Somewhat,Very,Very,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Disagree,No impact,2,QC,MAR
1577,4,3,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,1,2,1,2,Very,Somewhat,Very,Somewhat,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Never,1 to 3 times,Never,Never,Never,Never,Female,Strongly disagree,Too soon to tell,2,QC,MAR
1578,10,6,"News outlets including local, national and international sources",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,1,1,2,2,Very,9,Extremely,Very,Very,Extremely,Not at all,Very,Very,Somewhat,Somewhat,Not at all,Never,Never,Never,Never,Never,Never,Female,Not working at a job or business,Too soon to tell,2,ON,MAR
1579,3,2,Provincial daily announcements by public health and political leaders,TikTok,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,1,2,2,2,Very,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly agree,Major impact,2,NL,MAR
1580,5,3,"Provincial health agency Help text: e.g., website, public service announcements",Snapchat,Filled prescriptions,1,2,1,1,1,1,1,1,1,1,1,2,Very,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Extremely,Not at all,Somewhat,Never,1 to 3 times,Never,Never,Never,Never,Female,Disagree,Minor impact,2,NS,MAR
1581,3,2,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,1,1,1,1,1,1,1,2,2,2,Very,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,No impact,2,MB,MAR
1582,9,5,"News outlets including local, national and international sources",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,2,1,1,2,2,2,Very,Extremely,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly agree,Moderate impact,1,NB,MAR
1583,3,2,"News outlets including local, national and international sources",Facebook,Filled prescriptions,2,2,2,1,1,1,1,1,2,2,1,2,Somewhat,Not at all,Extremely,Very,Very,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Not working at a job or business,Major impact,2,ON,MAR
1584,4,3,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,1,1,2,1,1,1,1,1,2,1,2,Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Extremely,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Agree,Major impact,2,ON,MAR
1585,2,2,Provincial daily announcements by public health and political leaders,Snapchat,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,2,1,2,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Disagree,No impact,2,BC,MAR
1586,7,4,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,1,1,1,1,1,1,2,1,1,2,Very,Very,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Male,Strongly disagree,No impact,2,ON,MAR
1587,5,3,"Municipal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,1,1,1,1,1,1,1,2,2,2,Very,Very,Extremely,Very,Somewhat,Very,Very,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Never,1 to 3 times,Never,Never,Never,Never,Female,Not working at a job or business,Major impact,2,ON,MAR
1588,7,4,"Social media Help text: e.g., Facebook, Instagram, SnapChat, TikTok, Twitter, YouTube",Facebook,Filled prescriptions,2,2,2,2,1,1,1,1,1,1,2,2,Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Not at all,Extremely,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Not working at a job or business,Major impact,2,AB,MAR
1589,9,5,Federal daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,1,2,1,1,1,2,2,2,1,2,Somewhat,Not at all,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Male,Disagree,Too soon to tell,2,ON,MAR
1590,7,4,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,2,2,1,2,Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Very,Extremely,Extremely,Very,Somewhat,1 to 3 times,Never,Never,Never,Never,1 to 3 times,Male,Strongly agree,Major impact,2,BC,MAR
1591,2,2,Provincial daily announcements by public health and political leaders,Twitter,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,2,1,2,Not at all,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Very,Never,Never,Never,Never,Never,Never,Male,Strongly disagree,No impact,2,QC,SEPT
1592,6,4,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,2,2,1,2,Extremely,Extremely,Extremely,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Very,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly agree,Too soon to tell,2,ON,SEPT
1593,2,2,"News outlets including local, national and international sources",Twitter,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,1,1,2,Somewhat,Very,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Somewhat,Somewhat,Not at all,Never,Never,1 to 3 times,Never,Never,Never,Female,Disagree,Minor impact,2,ON,SEPT
