"Own
",Household,Vulnerable,CanadaPopHealth,WorldPopHealth,Overload,CivilDisorder,MaintainingSocials,CooperationDuring,"CooperationAfter
","
FamilyStress","
ViolenceHome",Gender,JobLos,Finance,Province,VERDATE
Somewhat,Very,Extremely,Very,Extremely,Extremely,Very,Very,Very,Very,Extremely,Very,Male,Agree,Moderate impact,British Columbia,SEPT
Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,Not working at a job or business,Minor impact,Ontario,SEPT
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Extremely,Not at all,Female,Agree,Too soon to tell,Alberta,SEPT
Somewhat,Very,Very,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Agree,Moderate impact,British Columbia,SEPT
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Minor impact,Ontario,SEPT
Very,Extremely,Extremely,Very,Very,Very,Somewhat,Very,Very,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,Quebec,SEPT
Not at all,Not at all,Very,Not at all,Not at all,Very,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Strongly disagree,No impact,Quebec,SEPT
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Very,Not at all,Female,Neither agree nor disagree,Minor impact,British Columbia,SEPT
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Extremely,Somewhat,Not at all,Female,Strongly agree,Moderate impact,Alberta,SEPT
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Very,Very,Very,Not at all,Female,Strongly disagree,Moderate impact,Ontario,SEPT
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Extremely,Very,Not at all,Male,Strongly agree,Major impact,Ontario,SEPT
Somewhat,Somewhat,Very,Very,Very,Very,Not at all,Very,Extremely,Extremely,Extremely,Not at all,Female,Strongly agree,Major impact,Ontario,SEPT
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Neither agree nor disagree,Minor impact,Nova Scotia,SEPT
Very,Very,Extremely,Very,Very,Extremely,Extremely,Somewhat,Very,Extremely,Very,Not at all,Female,Strongly disagree,Too soon to tell,Ontario,SEPT
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Not working at a job or business,Minor impact,Ontario,SEPT
Very,Very,Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Male,Neither agree nor disagree,Too soon to tell,Ontario,SEPT
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Very,Extremely,Extremely,Very,Not at all,Female,Disagree,Moderate impact,Ontario,SEPT
Somewhat,Very,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,British Columbia,SEPT
Somewhat,Extremely,Extremely,Very,Extremely,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Very,Female,Agree,Major impact,Ontario,SEPT
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Neither agree nor disagree,Too soon to tell,Ontario,SEPT
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Minor impact,Ontario,SEPT
Somewhat,Extremely,Very,Very,Somewhat,Very,Very,Very,Very,Very,Somewhat,Not at all,Male,Disagree,Moderate impact,British Columbia,SEPT
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Extremely,Extremely,Extremely,Not at all,Male,Strongly agree,Major impact,Nova Scotia,SEPT
Very,Very,Very,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Very,Very,Not at all,Female,Neither agree nor disagree,Moderate impact,Ontario,SEPT
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Not at all,Somewhat,Very,Somewhat,Very,Not at all,Male,Not working at a job or business,No impact,Alberta,SEPT
Very,Very,Extremely,Very,Very,Extremely,Very,Very,Very,Somewhat,Very,Not at all,Female,Agree,Moderate impact,Ontario,SEPT
Somewhat,Very,Extremely,Very,Very,Extremely,Very,Not at all,Very,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,Alberta,SEPT
Somewhat,Somewhat,Extremely,Extremely,Very,Extremely,Somewhat,Not at all,Somewhat,Very,Very,Somewhat,Female,Strongly disagree,No impact,Ontario,SEPT
Somewhat,Very,Very,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,Minor impact,Ontario,SEPT
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Strongly disagree,Too soon to tell,Ontario,SEPT
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Somewhat,Very,Female,Disagree,Moderate impact,Ontario,SEPT
Somewhat,Somewhat,Very,Extremely,Extremely,Very,Somewhat,Not at all,Somewhat,Not at all,Somewhat,Not at all,Male,Strongly disagree,Minor impact,Ontario,SEPT
Extremely,Extremely,Extremely,Very,Very,Extremely,Very,Not at all,Very,Very,Not at all,Not at all,Female,Strongly disagree,No impact,Manitoba,NOV
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Minor impact,Alberta,NOV
Somewhat,Not at all,Very,Extremely,Extremely,Extremely,Very,Somewhat,Very,Very,Somewhat,Not at all,Female,Not working at a job or business,Moderate impact,British Columbia,NOV
Extremely,Very,Very,Very,Extremely,Very,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Minor impact,Nunavut,NOV
Somewhat,Very,Extremely,Very,Somewhat,Extremely,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,Quebec,NOV
Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Very,Very,Somewhat,Extremely,Not at all,Female,Agree,Major impact,Nunavut,NOV
Very,Somewhat,Very,Very,Very,Extremely,Very,Not at all,Very,Very,Not at all,Not at all,Female,Strongly disagree,No impact,Ontario,NOV
Somewhat,Extremely,Extremely,Very,Extremely,Very,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Not at all,Female,Strongly agree,Moderate impact,Ontario,NOV
Somewhat,Somewhat,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Agree,Major impact,Ontario,NOV
Somewhat,Extremely,Extremely,Very,Very,Very,Somewhat,Not at all,Somewhat,Very,Extremely,Not at all,Female,Not working at a job or business,Too soon to tell,Manitoba,NOV
Somewhat,Very,Very,Very,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Disagree,No impact,Ontario,NOV
Very,Very,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Somewhat,Very,Not at all,Female,Neither agree nor disagree,Minor impact,Ontario,NOV
Somewhat,Somewhat,Very,Very,Very,Very,Not at all,Not at all,Somewhat,Not at all,Somewhat,Not at all,Female,Disagree,Minor impact,Ontario,NOV
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Agree,Too soon to tell,Saskatchewan,NOV
Not at all,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Male,Strongly agree,Moderate impact,Ontario,NOV
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Extremely,Extremely,Not at all,Not at all,Male,Not working at a job or business,Major impact,Quebec,NOV
Somewhat,Somewhat,Somewhat,Very,Very,Extremely,Somewhat,Extremely,Extremely,Somewhat,Extremely,Not at all,Female,Disagree,No impact,Ontario,NOV
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Male,Disagree,Minor impact,Quebec,NOV
Very,Very,Very,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Very,Extremely,Not at all,Female,Disagree,Major impact,British Columbia,NOV
Not at all,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Male,Strongly disagree,Minor impact,Ontario,NOV
Somewhat,Very,Extremely,Very,Very,Extremely,Not at all,Not at all,Somewhat,Not at all,Somewhat,Not at all,Female,Strongly disagree,Too soon to tell,Alberta,NOV
Extremely,Extremely,Very,Very,Somewhat,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Strongly disagree,Minor impact,Nova Scotia,NOV
Very,Very,Extremely,Extremely,Very,Extremely,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Strongly disagree,Major impact,Ontario,NOV
Somewhat,Somewhat,Extremely,Very,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Female,Disagree,Minor impact,Alberta,NOV
Very,Very,Very,Very,Very,Very,Very,Somewhat,Very,Not at all,Somewhat,Not at all,Male,Disagree,No impact,Quebec,NOV
Somewhat,Very,Very,Very,Very,Somewhat,Very,Somewhat,Very,Extremely,Somewhat,Not at all,Female,Not working at a job or business,Minor impact,Ontario,NOV
Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Not working at a job or business,No impact,British Columbia,APRIL
Somewhat,Somewhat,Somewhat,Very,Extremely,Extremely,Extremely,Very,Very,Very,Very,Not at all,Female,Agree,Moderate impact,Ontario,APRIL
Extremely,Extremely,Extremely,Very,Somewhat,Extremely,Extremely,9,Somewhat,Very,Not at all,Not at all,Female,Strongly agree,Major impact,Ontario,APRIL
Somewhat,Very,Extremely,Very,Somewhat,Extremely,Somewhat,Extremely,Very,Very,Extremely,Not at all,Female,Disagree,No impact,Quebec,APRIL
Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Female,Strongly disagree,No impact,Quebec,APRIL
Somewhat,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Neither agree nor disagree,Moderate impact,Quebec,APRIL
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Strongly disagree,Moderate impact,Ontario,APRIL
Not at all,Somewhat,Extremely,Extremely,Extremely,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Moderate impact,Alberta,APRIL
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Somewhat,Not at all,Male,Neither agree nor disagree,Moderate impact,British Columbia,APRIL
Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Minor impact,Ontario,APRIL
Somewhat,Very,Extremely,Very,Somewhat,Extremely,Somewhat,Very,Very,Very,Not at all,Not at all,Female,Disagree,Minor impact,Ontario,APRIL
Somewhat,Very,Extremely,Very,Very,Extremely,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Moderate impact,British Columbia,APRIL
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,Saskatchewan,APRIL
Somewhat,Somewhat,Very,Very,Very,Very,Very,Not at all,Very,Very,Not at all,Not at all,Male,Strongly agree,Major impact,Ontario,APRIL
Not at all,Somewhat,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Female,Agree,Too soon to tell,Ontario,APRIL
Somewhat,Extremely,Extremely,Very,Very,Extremely,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Not working at a job or business,Too soon to tell,Ontario,APRIL
Very,Very,Somewhat,Extremely,Extremely,Extremely,Very,Not at all,Somewhat,Not at all,Somewhat,Not at all,Female,Not working at a job or business,Moderate impact,Ontario,DEC
Somewhat,Somewhat,Extremely,Very,Very,Very,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Strongly disagree,Minor impact,British Columbia,DEC
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Very,Very,Extremely,Not at all,Male,Strongly disagree,Moderate impact,Quebec,DEC
Extremely,Extremely,Extremely,Very,Very,Very,Very,Very,Very,Very,Not at all,Not at all,Female,Strongly disagree,Moderate impact,Quebec,DEC
Not at all,Not at all,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,Not working at a job or business,No impact,Quebec,DEC
Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Strongly disagree,No impact,British Columbia,DEC
Somewhat,Somewhat,Extremely,Somewhat,Very,Very,Not at all,Very,Somewhat,Somewhat,Very,Not at all,Male,Disagree,Minor impact,British Columbia,DEC
Not at all,Somewhat,Very,Somewhat,Somewhat,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Minor impact,Manitoba,DEC
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Very,Somewhat,Not at all,Male,Strongly disagree,No impact,Alberta,DEC
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Not at all,Not at all,Somewhat,Somewhat,Very,Not at all,Female,Strongly agree,Minor impact,Nova Scotia,DEC
Very,Very,Extremely,Somewhat,Not at all,Extremely,Somewhat,Very,Very,Not at all,Somewhat,Not at all,Female,Disagree,No impact,Ontario,DEC
Somewhat,Extremely,Extremely,Extremely,Very,Extremely,Not at all,Very,Very,Very,Not at all,Not at all,Female,Strongly disagree,Major impact,Ontario,DEC
Not at all,Not at all,Very,Very,Very,Extremely,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Agree,Moderate impact,British Columbia,DEC
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Extremely,Very,Extremely,Not at all,Female,Strongly agree,Major impact,Ontario,DEC
Somewhat,Not at all,Extremely,Somewhat,Very,Extremely,Not at all,Somewhat,Very,Somewhat,Very,Not at all,Female,Disagree,Too soon to tell,British Columbia,DEC
Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Very,Very,Somewhat,Extremely,Not at all,Female,Agree,Minor impact,Alberta,DEC
Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,Ontario,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Not at all,Not at all,Extremely,Not at all,Female,Strongly disagree,No impact,Quebec,DEC
Somewhat,Very,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,New Brunswick,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Somewhat,Somewhat,Extremely,Somewhat,Female,Not working at a job or business,Major impact,Ontario,DEC
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Strongly disagree,No impact,Alberta,DEC
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Somewhat,Very,Not at all,Male,Neither agree nor disagree,Too soon to tell,Ontario,DEC
